"id_materia","nombre_materia","clave_alfa","hsm","ebc","id_carrera","cuatrimestre","n_unidades","integradora"
183,"CONTROL ESTADISTICO DE PROCESOS","ICEP",3,"A",22,9,5,"-"
184,"CONTROL LOGICO AVANZADO","ICLA",5,"A",22,10,5,"-"
185,"DIRECCION DE EQUIPOS DE ALTO RENDIMIENTO","IDEAR",2,"A",22,9,2,"-"
186,"DISPOSITIVOS DIGITALES PROGRAMABLES","IDGP",6,"A",22,10,5,"-"
187,"ECUACIONES DIFERENCIALES APLICADAS","IEDAP",5,"A",22,8,5,"-"
188,"ELECTRICIDAD INDUSTRIAL","EINDU",5,"A",22,7,3,"-"
189,"IDIOMA EXTRANJERO P/ING I","IEXI1",NULL,"A",22,NULL,NULL,"-"
190,"INGLES VII","IEXI2",4,"A",22,8,3,"-"
191,"IDIOMA EXTRANJERO P/ING III","IEXI3",NULL,"A",22,NULL,NULL,"-"
192,"IDIOMA EXTRANJERO P/ING IV","IEXI4",NULL,"A",22,NULL,NULL,"-"
193,"INTEGRADORA","IINT",2,"A",22,10,3,"A"
194,"MANUFACTURA ASISTIDA POR COMPUTADORA","IMACO",4,"A",22,8,3,"-"
195,"MECANICA PARA LA AUTOMATIZACION","IMAUT",4,"A",22,8,4,"-"
196,"NEGOCIACION EMPRESARIAL","INEMP",2,"A",22,10,2,"-"
197,"PLANEACION Y ORGANIZACION DEL TRABAJO","IPOTR",3,"A",22,8,3,"-"
198,"SISTEMAS DE MANUFACTURA FLEXIBLE","ISMF",6,"A",22,10,5,"-"
199,"SISTEMAS MECANICOS","SME",4,"A",22,9,4,"-"
200,"CALCULO APLICADO","ICAPL",4,"A",22,7,4,"-"
202,"INSTRUMENTACION VIRTUAL","IVIRT",5,"A",22,7,3,"-"
204,"ADMINISTRACION DEL TIEMPO","IATIE",3,"A",20,7,2,"-"
205,"ANALISIS DE PROYECTOS DE INVERSION","IAPIN",5,"A",20,10,3,"-"
206,"AUTOMATIZACION DE PROCESOS","IAUPR",5,"A",20,10,3,"-"
207,"DESARROLLO Y SEGUIMIENTO DE PROYECTOS","IDSPR",5,"A",20,8,6,"-"
208,"DIRECCION DE EQUIPOS DE ALTO RENDIMIENTO","IDEAR",2,"A",20,9,2,"-"
209,"ESTADISTICA APLICADA A LA INGENIERIA","IEAIN",5,"A",20,7,3,"-"
210,"ESTUDIO DE MERCADO","ESMER",3,"A",20,7,4,"-"
211,"IDIOMA EXTRANJERO P/ING I","IEXI1",NULL,"A",20,NULL,NULL,"-"
212,"IDIOMA EXTRANJERO P/ING II","IEXI2",NULL,"A",20,NULL,NULL,"-"
213,"INGLES VIII","IEXI3",4,"A",20,9,3,"-"
214,"IDIOMA EXTRANJERO P/ING IV","IEXI4",NULL,"A",20,NULL,NULL,"-"
215,"INGENIERIA DE DISEÑO I","IDISE",3,"A",20,9,3,"-"
216,"INGENIERIA DE DISEÑO II","IDIS",4,"A",20,9,4,"-"
217,"INGENIERIA DE MATERIALES","IIMAT",4,"A",20,8,3,"-"
218,"INGENIERIA DE PROCESOS","IINPR",7,"A",20,10,4,"-"
219,"INTEGRADORA I","IIN I",2,"A",20,9,2,"A"
220,"INTEGRADORA II","INTG",2,"A",20,10,2,"A"
221,"INVESTIGACION DE OPERACIONES","IOP",4,"A",20,9,4,"-"
222,"LOGISTICA DE MATERIALES","ILMAT",3,"A",20,9,3,"-"
223,"MANUFACTURA ESBELTA","IMESB",5,"A",20,7,3,"-"
224,"MATEMATICAS AVANZADAS I","IMAI",5,"A",20,7,3,"-"
225,"MATEMATICAS AVANZADAS II","IMAII",5,"A",20,8,2,"-"
226,"METROLOGIA INDUSTRIAL","IMIND",4,"A",20,8,4,"-"
227,"NEGOCIACION EMPRESARIAL","INEMP",2,"A",20,10,2,"-"
228,"PLANEACION Y ORGANIZACION DEL TRABAJO","IPOTR",3,"A",20,8,3,"-"
229,"TOPICOS AVANZADOS DE CALIDAD","ITAC",4,"A",20,9,4,"-"
230,"ADMINISTRACION DE PROYECTOS DE TI I","IAPI",4,"A",25,7,4,"-"
231,"ADMINISTRACION DE PROYECTOS DE TI II","IAPII",4,"A",25,8,4,"-"
232,"ADMINISTRACION DEL TIEMPO","IATIE",3,"A",25,7,2,"-"
233,"APLICACION DE LAS TELECOMUNICACIONES","IAPTE",5,"A",25,9,4,"-"
234,"AUDITORIA DE SISTEMAS DE TI","IASTI",4,"A",25,9,3,"-"
235,"BASE DE DATOS PARA APLICACIONES","IBDAP",5,"A",25,8,5,"-"
236,"DESARROLLO DE APLICACIONES WEB","DAPL",6,"A",25,10,5,"-"
237,"DIRECCION DE EQUIPOS DE ALTO RENDIMIENTO","IDEAR",2,"A",25,9,2,"-"
238,"ESTADISTICA APLICADA","IEAPL",4,"A",25,8,3,"-"
239,"IDIOMA EXTRANJERO P/ING I","IEXI1",NULL,"A",25,NULL,NULL,"-"
240,"IDIOMA EXTRANJERO P/ING II","IEXI2",NULL,"A",25,NULL,NULL,"-"
241,"IDIOMA EXTRANJERO P/ING III","IEXI3",NULL,"A",25,NULL,NULL,"-"
242,"IDIOMA EXTRANJERO P/ING IV","IEXI4",NULL,"A",25,NULL,NULL,"-"
243,"INGENIERIA ECONOMICA","IECON",3,"A",25,7,4,"-"
244,"INTEGRADORA I","IIN I",2,"A",25,9,2,"A"
245,"INTEGRADORA II","INTG",2,"A",25,10,2,"A"
246,"MATEMATICAS PARA TI","IMTIC",5,"A",25,7,3,"-"
247,"MODELADO DE PROCESOS DE NEGOCIOS","IMPNE",3,"A",25,10,4,"-"
248,"NEGOCIACION EMPRESARIAL","INEMP",2,"A",25,10,2,"-"
249,"PLANEACION Y ORGANIZACION DEL TRABAJO","IPOTR",3,"A",25,8,3,"-"
250,"PROGRAMACION DE APLICACIONES","IPRAP",5,"A",25,9,4,"-"
251,"REDES CONVERGENTES","IRECO",5,"A",25,8,6,"-"
252,"SEGURIDAD DE LA INFORMACION","ISEIN",5,"A",25,10,6,"-"
253,"SISTEMAS DE CALIDAD EN TI","ISCTI",3,"A",25,7,2,"-"
254,"TOPICOS SELECTOS DE TI","ITSTI",3,"A",25,10,3,"-"
256,"INTERNET Y SERVICIOS DE RED LINUX","IISRL",3,"A",25,9,4,"-"
257,"ADMINISTRACION DEL TIEMPO","IATIE",3,"A",31,7,2,"-"
258,"COCINAS DE ESPECIALIDADES","CESP",8,"A",31,9,4,"-"
259,"CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS","CCAB",3,"A",31,7,2,"-"
260,"CULTURA VITIVINICOLA","CVIT",5,"A",31,9,2,"-"
261,"DIRECCION DE EQUIPOS DE ALTO RENDIMIENTO","IDEAR",2,"A",31,9,2,"-"
262,"DISEÑO DE ESPACIOS GASTRONOMICOS","DEG",5,"A",31,9,2,"-"
263,"EQUIPOS E INSTALACIONES PARA ALIMENTOS Y BEBIDAS","EIAB",4,"A",31,8,2,"-"
264,"GESTION ADMINISTRATIVA Y FINANCIERA","GADF",3,"A",31,8,2,"-"
